ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,AggregateByteValue,Label
100,105,102,102,101,114,101,110,116,0,0,0,0.01773424576708706,103
114,111,111,109,0,0,0,0,0,0,0,0,0.01771553504573929,103
100,97,116,101,115,0,0,0,0,0,0,0,0.017694328697013807,103
104,111,116,101,108,0,0,0,0,0,0,0,0.017672671175732898,103
99,111,109,109,111,110,0,0,0,0,0,0,0.01764773825519176,103
101,114,114,111,114,115,109,115,116,101,114,114,0.01760664632078671,103
116,110,111,119,101,114,114,111,114,97,116,116,0.017566517593802865,103
115,117,112,112,108,105,101,114,101,114,114,111,0.017528240989779453,103
99,111,109,109,111,110,0,0,0,0,0,0,0.017503905029678225,103
101,114,114,111,114,115,0,0,0,0,0,0,0.017478749452305473,103
109,115,116,101,114,114,111,114,0,0,0,0,0.017447927916808097,103
115,117,112,112,108,105,101,114,101,114,114,111,0.01741061031446026,103
116,110,111,119,101,114,114,111,114,97,116,116,0.017371961263278137,103
105,110,99,111,114,114,101,99,116,0,0,0,0.017341048695806997,103
120,109,108,0,0,0,0,0,0,0,0,0,0.017327188354528174,103
102,111,114,109,97,116,0,0,0,0,0,0,0.017303604547611134,103
112,108,101,97,115,101,0,0,0,0,0,0,0.017280754860363498,103
99,104,101,99,107,0,0,0,0,0,0,0,0.01726174785281506,103
109,105,115,115,105,110,103,0,0,0,0,0,0.017235429128361027,103
101,108,101,109,101,110,116,115,0,0,0,0,0.017207211746802786,103
111,100,100,0,0,0,0,0,0,0,0,0,0.01719472129983712,103
99,104,97,114,97,99,116,101,114,115,0,0,0.01716381896930513,103
105,110,99,111,114,114,101,99,116,0,0,0,0.017133883038943604,103
102,111,114,109,97,116,0,0,0,0,0,0,0.017110952179708074,103
98,101,100,0,0,0,0,0,0,0,0,0,0.017099142411642412,103
116,121,112,101,0,0,0,0,0,0,0,0,0.017081883576859143,103
112,114,101,102,101,114,101,110,99,101,0,0,0.017051583656337986,103
105,110,99,111,114,114,101,99,116,0,0,0,0.01702217222213944,103
118,97,108,117,101,0,0,0,0,0,0,0,0.017002556999258445,103
115,116,97,114,0,0,0,0,0,0,0,0,0.016985871388260593,103
114,97,116,105,110,103,0,0,0,0,0,0,0.0169635957990967,103
105,110,118,97,108,105,100,0,0,0,0,0,0.016939217898611733,103
101,120,112,105,114,101,100,0,0,0,0,0,0.016914512432538997,103
99,111,100,101,0,0,0,0,0,0,0,0,0.016899318317778637,103
105,110,118,101,110,116,111,114,121,0,0,0,0.016869061681159706,103
115,111,117,114,99,101,0,0,0,0,0,0,0.016846669478061314,103
105,110,102,111,114,109,97,116,105,111,110,0,0.01681513932145878,103
109,105,115,109,97,116,99,104,0,0,0,0,0.016788986797037386,103
109,105,110,105,109,117,109,0,0,0,0,0,0.016764400787002767,103
110,117,109,98,101,114,0,0,0,0,0,0,0.016742690015827056,103
110,105,103,104,116,115,0,0,0,0,0,0,0.016720885298586806,103
114,101,113,117,105,114,101,100,0,0,0,0,0.016694667897170567,103
109,117,115,116,0,0,0,0,0,0,0,0,0.016678095118268746,103
115,117,112,112,108,121,0,0,0,0,0,0,0.016655208813931077,103
99,104,105,108,100,114,101,110,0,0,0,0,0.0166302172980218,103
97,103,101,0,0,0,0,0,0,0,0,0,0.016619098435885268,103
110,111,114,101,115,117,108,116,115,102,111,117,0.01658578731370149,103
118,97,99,97,110,99,121,0,0,0,0,0,0.016562884063908236,103
112,108,101,97,115,101,0,0,0,0,0,0,0.016542429642741812,103
116,114,121,0,0,0,0,0,0,0,0,0,0.01652948402948403,103
100,105,102,102,101,114,101,110,116,0,0,0,0.016503158482116243,103
100,97,116,101,115,0,0,0,0,0,0,0,0.016485462374605835,103
110,101,97,114,98,121,0,0,0,0,0,0,0.016464970500598072,103
104,111,116,101,108,115,0,0,0,0,0,0,0.016443994377593953,103
102,111,117,110,100,0,0,0,0,0,0,0,0.01642602060173768,103
100,97,116,97,98,97,115,101,0,0,0,0,0.01640271884089527,103
112,114,105,99,101,109,105,115,109,97,116,99,0.016373048561278362,103
112,108,101,97,115,101,0,0,0,0,0,0,0.016353191128530783,103
101,110,116,101,114,0,0,0,0,0,0,0,0.016335398758862744,103
99,105,116,121,0,0,0,0,0,0,0,0,0.016320302677805588,103
97,110,100,111,114,0,0,0,0,0,0,0,0.016302975823051305,103
115,116,97,116,101,0,0,0,0,0,0,0,0.0162851959157267,103
110,97,109,101,0,0,0,0,0,0,0,0,0.0162711197600163,103
115,101,97,114,99,104,0,0,0,0,0,0,0.01625170989035657,103
112,108,101,97,115,101,0,0,0,0,0,0,0.016232205522854683,103
101,110,116,101,114,0,0,0,0,0,0,0,0.01621472127974629,103
118,97,108,105,100,0,0,0,0,0,0,0,0.016197809312865807,103
99,111,117,110,116,114,121,0,0,0,0,0,0.016174482914139456,103
99,111,100,101,0,0,0,0,0,0,0,0,0.016160854882688206,103
112,108,101,97,115,101,0,0,0,0,0,0,0.01614161541387211,103
101,110,116,101,114,0,0,0,0,0,0,0,0.016124362460566363,103
118,97,108,105,100,0,0,0,0,0,0,0,0.016107674441200558,103
104,111,116,101,108,0,0,0,0,0,0,0,0.0160905809993392,103
112,108,101,97,115,101,0,0,0,0,0,0,0.01607154392764858,103
101,110,116,101,114,0,0,0,0,0,0,0,0.01605446769681692,103
118,97,108,105,100,0,0,0,0,0,0,0,0.01603795079514856,103
115,116,97,116,101,0,0,0,0,0,0,0,0.01602084793876636,103
99,111,100,101,0,0,0,0,0,0,0,0,0.01600751838260622,103
112,108,101,97,115,101,0,0,0,0,0,0,0.015988718183902774,103
110,97,114,114,111,119,0,0,0,0,0,0,0.015968839078222843,103
115,101,97,114,99,104,0,0,0,0,0,0,0.0159502966426228,103
101,110,116,101,114,105,110,103,0,0,0,0,0.01592730259780265,103
97,100,100,105,116,105,111,110,97,108,0,0,0.015902586819150293,103
99,114,105,116,101,114,105,97,0,0,0,0,0.015880110415649032,103
112,108,101,97,115,101,0,0,0,0,0,0,0.015861693463312378,103
110,97,114,114,111,119,0,0,0,0,0,0,0.015842216856116382,103
115,101,97,114,99,104,0,0,0,0,0,0,0.015824051537716814,103
101,110,116,101,114,105,110,103,0,0,0,0,0.015801546019361363,103
100,101,115,116,105,110,97,116,105,111,110,0,0.01577544862990566,103
105,110,102,111,114,109,97,116,105,111,110,0,0.01574934878289769,103
108,97,116,105,116,117,100,101,0,0,0,0,0.01572715047738581,103
108,111,110,103,105,116,117,100,101,0,0,0,0.015703464825081462,103
115,101,97,114,99,104,101,115,0,0,0,0,0.015681935370102925,103
112,108,101,97,115,101,0,0,0,0,0,0,0.015664120401844724,103
110,97,114,114,111,119,0,0,0,0,0,0,0.015645276165378728,103
115,101,97,114,99,104,0,0,0,0,0,0,0.01562770322230767,103
115,112,101,99,105,102,121,105,110,103,0,0,0.01560349357759108,103
112,97,114,97,109,101,116,101,114,115,0,0,0.015579295470884257,103
112,108,101,97,115,101,0,0,0,0,0,0,0.015561784722636396,103
110,97,114,114,111,119,0,0,0,0,0,0,0.015543260089903699,103
115,101,97,114,99,104,0,0,0,0,0,0,0.015525986555184538,103
101,110,116,101,114,105,110,103,0,0,0,0,0.015504634352245946,103
99,105,116,121,0,0,0,0,0,0,0,0,0.015491329987590736,103
110,97,109,101,0,0,0,0,0,0,0,0,0.015478866501946362,103
112,108,101,97,115,101,0,0,0,0,0,0,0.015461635214613153,103
112,114,111,118,105,100,101,0,0,0,0,0,0.015441867180612405,103
99,104,101,99,107,105,110,0,0,0,0,0,0.015423377497040465,103
100,97,116,101,0,0,0,0,0,0,0,0,0.015411145735134947,103
99,111,110,102,105,114,109,97,116,105,111,110,0.01538658890859437,103
110,117,109,98,101,114,0,0,0,0,0,0,0.015369126933423731,103
115,101,97,114,99,104,0,0,0,0,0,0,0.015352347099977433,103
112,108,101,97,115,101,0,0,0,0,0,0,0.01533548015203984,103
112,114,111,118,105,100,101,0,0,0,0,0,0.015316138021154474,103
108,97,116,105,116,117,100,101,0,0,0,0,0.015295554322264667,103
100,101,99,105,109,97,108,0,0,0,0,0,0.015277728666359063,103
99,111,111,114,100,105,110,97,116,101,0,0,0.01525534459689112,103
115,101,97,114,99,104,0,0,0,0,0,0,0.015238887027059542,103
112,108,101,97,115,101,0,0,0,0,0,0,0.01522234331489769,103
112,114,111,118,105,100,101,0,0,0,0,0,0.015203378976069156,103
108,111,110,103,105,116,117,100,101,0,0,0,0.015181828674512354,103
100,101,99,105,109,97,108,0,0,0,0,0,0.015164359326215328,103
99,111,111,114,100,105,110,97,116,101,0,0,0.0151424598789288,103
115,101,97,114,99,104,0,0,0,0,0,0,0.01512632078099649,103
112,108,101,97,115,101,0,0,0,0,0,0,0.015110096516282477,103
112,114,111,118,105,100,101,0,0,0,0,0,0.015091505429689655,103
100,101,99,105,109,97,108,0,0,0,0,0,0.015074314383394901,103
108,97,116,105,116,117,100,101,0,0,0,0,0.015054612304408922,103
108,111,110,103,105,116,117,100,101,0,0,0,0.015033655549369907,103
99,111,111,114,100,105,110,97,116,101,115,0,0.01501141156301602,103
115,101,97,114,99,104,0,0,0,0,0,0,0.014995640985242371,103
112,108,101,97,115,101,0,0,0,0,0,0,0.014979786388172676,103
112,114,111,118,105,100,101,0,0,0,0,0,0.014961627078882328,103
111,110,101,0,0,0,0,0,0,0,0,0,0.014952359223179038,103
118,97,108,105,100,0,0,0,0,0,0,0,0.014938570263658604,103
97,109,101,110,105,116,121,0,0,0,0,0,0.01492059979667202,103
99,111,100,101,115,0,0,0,0,0,0,0,0.0149069449802421,103
115,101,97,114,99,104,0,0,0,0,0,0,0.014891448087716194,103
112,108,101,97,115,101,0,0,0,0,0,0,0.01487586805013945,103
116,114,121,0,0,0,0,0,0,0,0,0,0.014865827046573977,103
100,105,102,102,101,114,101,110,116,0,0,0,0.014846210806000983,103
100,97,116,101,115,0,0,0,0,0,0,0,0.014832632342277012,103
110,101,97,114,98,121,0,0,0,0,0,0,0.01481699431605389,103
104,111,116,101,108,115,0,0,0,0,0,0,0.014800969529658268,103
112,114,105,99,105,110,103,0,0,0,0,0,0.014783760475681565,103
101,114,114,111,114,0,0,0,0,0,0,0,0.01476956113162754,103
114,101,116,114,105,101,118,101,0,0,0,0,0.014750616105554618,103
114,97,116,101,0,0,0,0,0,0,0,0,0.014739243565870443,103
105,110,102,111,114,109,97,116,105,111,110,0,0.01471794167336428,103
114,101,113,117,101,115,116,101,100,0,0,0,0.014698064716787324,103
116,105,109,101,0,0,0,0,0,0,0,0,0.014686708440237558,103
112,114,111,98,108,101,109,0,0,0,0,0,0.014669706755283753,103
103,101,116,116,105,110,103,0,0,0,0,0,0.014652727391307893,103
100,101,116,97,105,108,101,100,0,0,0,0,0.014635448034508019,103
114,111,111,109,0,0,0,0,0,0,0,0,0.014623794277582966,103
97,118,97,105,108,0,0,0,0,0,0,0,0.014610843740481268,103
120,109,108,119,115,0,0,0,0,0,0,0,0.014596558767273605,103
114,97,116,101,0,0,0,0,0,0,0,0,0.014585478945139216,103
100,101,116,97,105,108,0,0,0,0,0,0,0.0145709162153191,103
116,104,114,101,119,0,0,0,0,0,0,0,0.014557224592119363,103
101,120,99,101,112,116,105,111,110,0,0,0,0.014538029277347887,103
113,117,101,114,121,0,0,0,0,0,0,0,0.014524065292006184,103
112,114,111,112,105,100,0,0,0,0,0,0,0.014508871332964324,103
112,114,111,112,101,114,116,121,0,0,0,0,0.01448992015687346,103
108,111,110,103,101,114,0,0,0,0,0,0,0.01447502172067909,103
97,118,97,105,108,97,98,108,101,0,0,0,0.01445746261781447,103
112,114,111,112,101,114,116,121,0,0,0,0,0.014438697888657207,103
108,111,111,107,117,112,0,0,0,0,0,0,0.014423392144452941,103
102,97,105,108,101,100,0,0,0,0,0,0,0.014409649797998733,103
115,117,112,112,108,105,101,114,0,0,0,0,0.01439153923633367,103
104,111,116,101,108,105,100,0,0,0,0,0,0.014375654676602182,103
113,117,101,114,121,0,0,0,0,0,0,0,0.01436208125445474,103
99,97,110,0,0,0,0,0,0,0,0,0,0.01435413496090146,103
112,114,111,99,101,101,100,0,0,0,0,0,0.01433855536028816,103
114,101,102,101,114,0,0,0,0,0,0,0,0.014326030721242626,103
109,117,108,116,105,112,108,101,0,0,0,0,0.014308427298178923,103
108,111,99,97,116,105,111,110,115,0,0,0,0.01429023015138996,103
102,97,113,0,0,0,0,0,0,0,0,0,0.014282211925985342,103
100,101,116,97,105,108,115,0,0,0,0,0,0.014266729639578476,103
114,101,99,111,118,101,114,105,110,103,0,0,0.01424807209301869,103
116,121,112,101,115,0,0,0,0,0,0,0,0.014234831187376912,103
101,114,114,111,114,115,0,0,0,0,0,0,0.014219995494304213,103
115,112,101,99,105,102,105,101,100,0,0,0,0.014203009356576491,103
97,114,114,105,118,97,108,0,0,0,0,0,0.01418745777670172,103
100,97,116,101,0,0,0,0,0,0,0,0,0.014177520426398632,103
112,114,105,111,114,0,0,0,0,0,0,0,0.01416469185076628,103
116,111,100,97,121,115,0,0,0,0,0,0,0.014150291559943011,103
100,97,116,101,0,0,0,0,0,0,0,0,0.0141404156343227,103
115,112,101,99,105,102,105,101,100,0,0,0,0.014123697931832388,103
99,105,116,121,0,0,0,0,0,0,0,0,0.01411313018466474,103
114,101,115,111,108,118,101,100,0,0,0,0,0.01409645832808921,103
118,97,108,105,100,0,0,0,0,0,0,0,0.014084575969236662,103
108,111,99,97,116,105,111,110,0,0,0,0,0.014068295753868022,103
115,117,112,112,108,105,101,114,0,0,0,0,0.014051337908698334,103
114,101,116,117,114,110,0,0,0,0,0,0,0.014036912389871235,103
116,101,120,116,0,0,0,0,0,0,0,0,0.014026180880839482,103
110,117,108,108,0,0,0,0,0,0,0,0,0.014015737437726798,103
117,110,112,97,114,115,97,98,108,101,0,0,0.013998220029653386,103
115,117,112,112,108,105,101,114,0,0,0,0,0.01398149513347286,103
114,101,99,111,103,110,105,122,101,100,0,0,0.013964193102710265,103
103,117,101,115,116,115,0,0,0,0,0,0,0.013950138747342427,103
116,97,103,0,0,0,0,0,0,0,0,0,0.01394247458467642,103
108,97,114,103,101,0,0,0,0,0,0,0,0.013931057348045875,103
115,109,97,108,108,0,0,0,0,0,0,0,0.01391929190063767,103
98,97,115,101,100,0,0,0,0,0,0,0,0.013908238108549598,103
115,112,101,99,105,102,105,101,100,0,0,0,0.013892304684311534,103
110,117,109,98,101,114,0,0,0,0,0,0,0.013878907953360508,103
114,111,111,109,115,0,0,0,0,0,0,0,0.013866650252836121,103
116,97,103,0,0,0,0,0,0,0,0,0,0.013859094574183365,103
104,111,116,101,108,0,0,0,0,0,0,0,0.013847401799321568,103
105,100,101,110,116,105,102,105,101,114,0,0,0.01383076850497712,103
117,115,101,100,0,0,0,0,0,0,0,0,0.013820947360085075,103
97,108,111,110,103,0,0,0,0,0,0,0,0.013809624270324948,103
105,100,101,110,116,105,102,105,101,114,0,0,0.013793129377793987,103
108,111,99,97,116,105,111,110,105,100,0,0,0.01377662248971873,103
109,97,114,107,101,116,107,101,121,119,111,114,0.013759068157365394,103
97,100,100,114,101,115,115,0,0,0,0,0,0.0137450926533213,103
97,109,101,110,105,116,121,0,0,0,0,0,0.013730720286009636,103
99,111,100,101,0,0,0,0,0,0,0,0,0.013721652617663895,103
105,110,118,97,108,105,100,0,0,0,0,0,0.01370775303492962,103
99,104,97,105,110,0,0,0,0,0,0,0,0.013697039593002168,103
99,111,100,101,0,0,0,0,0,0,0,0,0.013688025784099063,103
105,110,118,97,108,105,100,0,0,0,0,0,0.01367421563659515,103
99,108,105,101,110,116,0,0,0,0,0,0,0.013661631330322515,103
114,101,113,117,101,115,116,0,0,0,0,0,0.013647033776716375,103
108,97,99,107,101,100,0,0,0,0,0,0,0.013635195283823093,103
108,111,99,97,116,105,111,110,0,0,0,0,0.013620341411358964,103
105,110,102,111,0,0,0,0,0,0,0,0,0.013611026044991164,103
104,111,116,101,108,0,0,0,0,0,0,0,0.013599876152317907,103
115,104,111,112,112,105,110,103,0,0,0,0,0.01358475290446277,103
114,101,113,117,101,115,116,0,0,0,0,0,0.013570374698438773,103
99,108,105,101,110,116,0,0,0,0,0,0,0.013558039237277249,103
114,101,113,117,101,115,116,115,0,0,0,0,0.013542549955843176,103
98,97,100,0,0,0,0,0,0,0,0,0,0.01353594822708153,103
101,110,100,0,0,0,0,0,0,0,0,0,0.01352895744416056,103
100,101,112,97,114,116,97,114,114,105,118,101,0.013512782169052197,103
100,97,116,101,115,0,0,0,0,0,0,0,0.013502114168761379,103
99,108,105,101,110,116,0,0,0,0,0,0,0.013489947070666582,103
114,101,113,117,101,115,116,115,0,0,0,0,0.013474679710479739,103
98,97,100,0,0,0,0,0,0,0,0,0,0.013468161852401316,103
115,116,97,114,116,0,0,0,0,0,0,0,0.013456873535661745,103
98,101,103,105,110,0,0,0,0,0,0,0,0.013446608371876969,103
100,101,112,97,114,116,97,114,114,105,118,101,0.013430763437823592,103
100,97,116,101,115,0,0,0,0,0,0,0,0.013420264954559842,103
104,111,116,101,108,0,0,0,0,0,0,0,0.013409520023849746,103
115,101,108,101,99,116,101,100,0,0,0,0,0.01339574170223667,103
108,111,110,103,101,114,0,0,0,0,0,0,0.013383637893659463,103
97,118,97,105,108,97,98,108,101,0,0,0,0.013369689970173527,103
112,108,101,97,115,101,0,0,0,0,0,0,0.0133579627539909,103
99,104,111,111,115,101,0,0,0,0,0,0,0.01334609454785635,103
97,110,111,116,104,101,114,0,0,0,0,0,0.01333297485257479,103
108,111,99,97,108,101,0,0,0,0,0,0,0.013321570396788737,103
118,97,108,105,100,0,0,0,0,0,0,0,0.01331131430860978,103
108,111,99,97,116,105,111,110,0,0,0,0,0.013297441237036073,103
115,111,108,118,101,100,0,0,0,0,0,0,0.013285429882334474,103
109,97,114,107,101,116,0,0,0,0,0,0,0.013273659339719466,103
108,111,99,97,116,105,111,110,0,0,0,0,0.013259896846139204,103
115,101,114,118,105,99,101,0,0,0,0,0,0.013247007067903757,103
99,108,105,101,110,116,0,0,0,0,0,0,0.013235444969962642,103
114,101,113,117,101,115,116,115,0,0,0,0,0.013220975375515854,103
108,111,99,97,116,105,111,110,0,0,0,0,0.013207369244215467,103
105,110,102,111,0,0,0,0,0,0,0,0,0.013198754689361823,103
110,117,109,98,101,114,0,0,0,0,0,0,0.013187071664568216,103
104,111,116,101,108,0,0,0,0,0,0,0,0.013176802256757306,103
103,117,101,115,116,115,0,0,0,0,0,0,0.013164751241414066,103
101,120,99,101,101,100,115,0,0,0,0,0,0.013152480927785159,103
97,108,108,111,119,97,98,108,101,0,0,0,0.013138820271898971,103
110,117,109,98,101,114,0,0,0,0,0,0,0.013127278087713726,103
112,101,114,0,0,0,0,0,0,0,0,0,0.013120433283405652,103
104,111,116,101,108,0,0,0,0,0,0,0,0.013110296514093268,103
114,111,111,109,0,0,0,0,0,0,0,0,0.01310144744836232,103
110,117,109,98,101,114,0,0,0,0,0,0,0.01308998726809749,103
114,111,111,109,115,0,0,0,0,0,0,0,0.01307945110701107,103
114,101,113,117,101,115,116,0,0,0,0,0,0.013066482414953702,103
103,114,101,97,116,101,114,0,0,0,0,0,0.013054253975168809,103
114,97,116,105,110,103,0,0,0,0,0,0,0.013042992411056185,103
99,111,100,101,0,0,0,0,0,0,0,0,0.013035025072573928,103
105,110,118,97,108,105,100,0,0,0,0,0,0.01302294354096242,103
114,111,111,109,0,0,0,0,0,0,0,0,0.013014238377835136,103
116,121,112,101,0,0,0,0,0,0,0,0,0.013005433868279426,103
114,97,116,101,0,0,0,0,0,0,0,0,0.01299713863330312,103
115,101,108,101,99,116,101,100,0,0,0,0,0.012984521613324149,103
108,111,110,103,101,114,0,0,0,0,0,0,0.012973370096026692,103
97,118,97,105,108,97,98,108,101,0,0,0,0.01296064644623706,103
112,108,101,97,115,101,0,0,0,0,0,0,0.01294984208203459,103
99,104,111,111,115,101,0,0,0,0,0,0,0.01293890533486944,103
97,110,111,116,104,101,114,0,0,0,0,0,0.012926843950041449,103
101,114,114,111,114,97,116,108,97,110,116,105,0.012937141096628984,103
115,101,115,115,105,111,110,0,0,0,0,0,0.012924735520506242,103
101,120,112,105,114,101,100,0,0,0,0,0,0.012912781467128737,103
104,111,116,101,108,0,0,0,0,0,0,0,0.012903105865497774,103
115,111,108,117,116,105,111,110,115,0,0,0,0.01288892899587617,103
102,111,117,110,100,0,0,0,0,0,0,0,0.01287930078352255,103
99,114,105,116,101,114,105,97,0,0,0,0,0.012866866312558498,103
115,112,101,99,105,102,105,101,100,0,0,0,0.01285429128176254,103
101,114,114,111,114,0,0,0,0,0,0,0,0.012844428103550814,103
120,109,108,0,0,0,0,0,0,0,0,0,0.012837758661563992,103
114,101,113,117,101,115,116,0,0,0,0,0,0.012825506454236899,103
115,116,114,117,99,116,117,114,101,0,0,0,0.012811559850487738,103
99,111,114,114,101,99,116,0,0,0,0,0,0.012799875227625278,103
120,109,108,0,0,0,0,0,0,0,0,0,0.012793263421843325,103
119,101,108,108,0,0,0,0,0,0,0,0,0.012785184212254549,103
102,111,114,109,101,100,0,0,0,0,0,0,0.012774764924557184,103
97,110,100,111,114,0,0,0,0,0,0,0,0.012765527997284134,103
116,97,103,115,0,0,0,0,0,0,0,0,0.012757597996819229,103
99,111,114,114,101,99,116,108,121,0,0,0,0.0127444185126317,103
99,114,101,97,116,101,100,0,0,0,0,0,0.01273345345667187,103
109,117,115,116,0,0,0,0,0,0,0,0,0.01272502137642419,103
108,101,97,115,116,0,0,0,0,0,0,0,0.012715770749534405,103
111,110,101,0,0,0,0,0,0,0,0,0,0.012709580938377223,103
97,100,117,108,116,0,0,0,0,0,0,0,0.012700336216941728,103
101,118,101,114,121,0,0,0,0,0,0,0,0.012690748249170661,103
114,111,111,109,0,0,0,0,0,0,0,0,0.01268263618758104,103
115,117,105,116,101,0,0,0,0,0,0,0,0.012673101643100246,103
114,101,115,101,114,118,101,0,0,0,0,0,0.012661540303590672,103
111,114,100,101,114,98,121,116,121,112,101,0,0.01264800139408675,103
113,117,101,114,121,0,0,0,0,0,0,0,0.012638287147805296,103
118,97,108,105,100,0,0,0,0,0,0,0,0.012629386106596825,103
112,108,101,97,115,101,0,0,0,0,0,0,0.012619362440486337,103
116,114,121,0,0,0,0,0,0,0,0,0,0.012612681600465744,103
112,114,111,100,117,99,116,0,0,0,0,0,0.012601169818613693,103
99,117,114,114,101,110,116,108,121,0,0,0,0.012588107052686955,103
97,118,97,105,108,97,98,108,101,0,0,0,0.012576557411060361,103
114,101,113,117,101,115,116,101,100,0,0,0,0.012564030905803058,103
112,114,111,100,117,99,116,0,0,0,0,0,0.01255265002815773,103
97,118,97,105,108,97,98,108,101,0,0,0,0.012541205053131322,103
114,101,115,101,114,118,97,116,105,111,110,0,0.012528239528795813,103
99,97,110,0,0,0,0,0,0,0,0,0,0.012522608118317728,103
112,114,111,99,101,115,115,101,100,0,0,0,0.01251045758677103,103
100,97,121,115,0,0,0,0,0,0,0,0,0.012502891955875851,103
99,111,114,114,101,99,116,0,0,0,0,0,0.012491978470197715,103
105,110,102,111,114,109,97,116,105,111,110,0,0.012479429975717696,103
116,114,121,0,0,0,0,0,0,0,0,0,0.012472943846086326,103
115,111,114,116,98,121,116,121,112,101,0,0,0.012459668325418163,103
113,117,101,114,121,0,0,0,0,0,0,0,0.012450343900806137,103
118,97,108,105,100,0,0,0,0,0,0,0,0.012441802271059779,103
112,108,101,97,115,101,0,0,0,0,0,0,0.01243219454579285,103
116,114,121,0,0,0,0,0,0,0,0,0,0.012425768831479642,103
97,99,99,101,112,116,0,0,0,0,0,0,0.012416393389658014,103
114,101,115,101,114,118,97,116,105,111,110,0,0.012403858556153183,103
108,111,110,103,101,114,0,0,0,0,0,0,0.01239407356344795,103
100,97,121,115,0,0,0,0,0,0,0,0,0.012386691388545529,103
99,108,105,101,110,116,0,0,0,0,0,0,0.012377100446819765,103
114,101,113,117,101,115,116,0,0,0,0,0,0.01236604103236084,103
105,110,99,108,117,100,101,0,0,0,0,0,0.012355742395760488,103
112,111,115,0,0,0,0,0,0,0,0,0,0.012349672814945672,103
105,110,102,111,0,0,0,0,0,0,0,0,0.012342454912741056,103
120,109,108,0,0,0,0,0,0,0,0,0,0.012336419718494775,103
119,101,108,108,0,0,0,0,0,0,0,0,0.012329061914506558,103
102,111,114,109,101,100,0,0,0,0,0,0,0.012319625857516414,103
99,97,110,0,0,0,0,0,0,0,0,0,0.01231422637590862,103
98,111,111,107,0,0,0,0,0,0,0,0,0.01230707704784818,103
114,111,111,109,115,0,0,0,0,0,0,0,0.012298157550120667,103
116,105,109,101,0,0,0,0,0,0,0,0,0.01229095204090741,103
101,120,99,101,101,100,101,100,0,0,0,0,0.012280643944278094,103
109,97,120,105,109,117,109,0,0,0,0,0,0.012270027998734414,103
110,117,109,98,101,114,0,0,0,0,0,0,0.012260477187320325,103
104,111,116,101,108,115,0,0,0,0,0,0,0.012250829418288613,103
114,101,113,117,101,115,116,0,0,0,0,0,0.012240071120915063,103
99,111,109,0,0,0,0,0,0,0,0,0,0.012234504408757644,103
116,114,97,118,101,108,110,111,119,0,0,0,0.012222673799835852,103
115,117,112,112,108,105,101,114,0,0,0,0,0.01221135913207577,103
104,111,116,101,108,0,0,0,0,0,0,0,0.012203005798587827,103
109,101,114,99,104,97,110,116,0,0,0,0,0.012192397084892654,103
116,114,97,110,115,108,97,116,111,114,0,0,0.012180540895956257,103
116,114,97,110,115,108,97,116,111,114,0,0,0.012168725591649773,103
101,120,99,101,112,116,105,111,110,0,0,0,0.012157461006340586,103
114,97,116,101,0,0,0,0,0,0,0,0,0.012150530221364286,103
100,101,116,97,105,108,0,0,0,0,0,0,0.012141657444380614,103
115,101,114,118,105,99,101,0,0,0,0,0,0.012131631446957806,103
116,104,114,101,119,0,0,0,0,0,0,0,0.01212316334404944,103
101,120,99,101,112,116,105,111,110,0,0,0,0.012112026677772007,103
113,117,101,114,121,0,0,0,0,0,0,0,0.012103369336713942,103
112,114,111,112,105,100,0,0,0,0,0,0,0.012094082225816646,103
99,111,109,116,114,97,118,101,108,110,111,119,0.012082741670369416,103
115,117,112,112,108,105,101,114,0,0,0,0,0.012071817547125902,103
104,111,116,101,108,0,0,0,0,0,0,0,0.01206372754189338,103
109,101,114,99,104,97,110,116,0,0,0,0,0.012053487940056352,103
116,114,97,110,115,108,97,116,111,114,0,0,0.012042074808589294,103
116,114,97,110,115,108,97,116,111,114,0,0,0.012030700346840787,103
101,120,99,101,112,116,105,111,110,0,0,0,0.012019839441944444,103
114,97,116,101,100,101,116,97,105,108,0,0,0.012009333001110485,103
115,101,114,118,105,99,101,0,0,0,0,0,0.011999634363108158,103
116,104,114,101,119,0,0,0,0,0,0,0,0.01199142558479016,103
101,120,99,101,112,116,105,111,110,0,0,0,0.011980678920005886,103
100,97,121,115,0,0,0,0,0,0,0,0,0.011973927867406158,103
97,100,118,97,110,99,101,0,0,0,0,0,0.011964877762188976,103
109,97,120,105,109,117,109,0,0,0,0,0,0.011955043713867864,103
99,97,110,0,0,0,0,0,0,0,0,0,0.011950051552296942,103
115,101,97,114,99,104,101,100,0,0,0,0,0.011940455159830726,103
101,114,114,111,114,115,115,117,112,112,108,105,0.011956058542037793,103
101,114,114,111,114,0,0,0,0,0,0,0,0.011947980413370743,103
115,117,112,112,108,105,101,114,0,0,0,0,0.011937491002492783,103
109,121,115,116,105,113,117,101,114,97,116,101,0.011937579565893018,103
109,121,115,116,105,113,117,101,114,97,116,101,0.011939799482078128,103
115,112,101,99,105,102,105,101,100,0,0,0,0.011929967438946146,103
97,114,114,105,118,97,108,0,0,0,0,0,0.011920581984534846,103
100,97,116,101,0,0,0,0,0,0,0,0,0.011914349483864968,103
