Label,ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,ByteRange12,ByteRange13,ByteRange14,ByteRange15,ByteRange16,ByteRange17,ByteRange18,ByteRange19,ByteRange20,ByteRange21,ByteRange22,ByteRange23,ByteRange24,ByteRange25,ByteRange26,ByteRange27,ByteRange28,ByteRange29,ByteRange30,ByteRange31,ByteRange32,ByteRange33,ByteRange34,ByteRange35,ByteRange36,ByteRange37,ByteRange38,ByteRange39,ByteRange40,ByteRange41,ByteRange42,ByteRange43,ByteRange44,ByteRange45,ByteRange46,ByteRange47,ByteRange48,ByteRange49,AggregateByteValue
3296,114,101,109,111,118,101,99,97,114,100,117,115,101,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01923399544266907
6592,101,114,114,111,114,102,114,97,117,100,117,115,101,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01898123774639959
13184,104,114,110,113,117,111,116,101,107,101,121,102,97,105,108,117,114,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01972943015521949
103,118,97,108,105,100,108,97,110,103,117,97,103,101,99,111,100,101,110,101,101,100,101,100,116,114,97,110,115,108,97,116,105,111,110,114,101,113,117,101,115,116,0,0,0,0,0,0,0,0,0,0.019927364655347737
206,102,97,105,108,117,114,101,118,97,108,105,100,97,116,101,98,111,111,107,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01842147318997913
412,104,111,116,101,108,99,111,110,102,105,114,109,97,116,105,111,110,110,117,109,98,101,114,102,111,117,110,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018857567371696984
824,117,110,97,98,108,101,99,97,110,99,101,108,114,101,115,101,114,118,97,116,105,111,110,114,101,115,101,114,118,97,116,105,111,110,109,97,110,117,97,108,108,121,98,111,111,107,101,100,112,108,0.018800214683909286
1648,99,114,101,100,105,116,99,97,114,100,101,114,114,111,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01927138020611736

